"Time","id","nodes","nr"
1591438323000,0c1fc2bd43ce,,1
1591438328000,0c1fc2bd43ce,,1
1591438333000,0c1fc2bd43ce,,1
1591438338000,0c1fc2bd43ce,,1
1591438343000,0c1fc2bd43ce,,1
1591438348000,0c1fc2bd43ce,,1
1591438354000,0c1fc2bd43ce,,1
1591438359000,0c1fc2bd43ce,,1
1591438364000,0c1fc2bd43ce,,1
1591438369000,0c1fc2bd43ce,,1
1591438374000,0c1fc2bd43ce,,1
1591438379000,0c1fc2bd43ce,,1
1591438384000,0c1fc2bd43ce,,1
1591438389000,0c1fc2bd43ce,,1
1591438395000,0c1fc2bd43ce,,1
1591438400000,0c1fc2bd43ce,,1
1591438405000,0c1fc2bd43ce,,1
1591438410000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438415000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438420000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438425000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438431000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438436000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438441000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438446000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438451000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438456000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438461000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438467000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438472000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438477000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438482000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438487000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438492000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438498000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438503000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438508000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438513000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438518000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438523000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438528000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438534000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438539000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438544000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438549000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438554000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438559000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438565000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438570000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438575000,0c1fc2bd43ce,if:1d44d2fb7de5c5 and:849252651d8148 mqttout:dcc3d6801128d mqttout:c3d3a7568a5448 if:c30f6f8af2f308 and:f2b3fd8e0ad13 temperature-humidity:8b11d32ebc025 if:a59c92f5e03198 and:14c8b7eab76d3,9
1591438323000,1edc5b28299f,,1
1591438328000,1edc5b28299f,,1
1591438333000,1edc5b28299f,,1
1591438338000,1edc5b28299f,,1
1591438343000,1edc5b28299f,,1
1591438348000,1edc5b28299f,,1
