Time,0c1fc2bd43ce,1edc5b28299f,363f08b924c2,5118fb10a251
1591438323000,0,,,
1591438328000,0,,,
1591438333000,0,,,
1591438338000,0,,,
1591438343000,0,,,
1591438348000,0,,,
1591438354000,0,,,
1591438359000,0,,,
1591438364000,0,,,
1591438369000,0,,,
1591438374000,0,,,
1591438379000,0,,,
1591438384000,0,,,
1591438389000,0,,,
1591438395000,0,,,
1591438400000,0,,,
1591438405000,0,,,
1591438410000,9,,,
1591438415000,9,,,
1591438420000,9,,,
1591438425000,9,,,
1591438431000,9,,,
1591438436000,9,,,
1591438441000,9,,,
1591438446000,9,,,
1591438451000,9,,,
1591438456000,9,,,
1591438461000,9,,,
1591438467000,9,,,
1591438472000,9,,,
1591438477000,9,,,
1591438482000,9,,,
1591438487000,9,,,
1591438492000,9,,,
1591438498000,9,,,
1591438503000,9,,,
1591438508000,9,,,
1591438513000,9,,,
1591438518000,9,,,
1591438523000,9,,,
1591438528000,9,,,
1591438534000,9,,,
1591438539000,9,,,
1591438544000,9,,,
1591438549000,9,,,
1591438554000,9,,,
1591438559000,9,,,
1591438565000,9,,,
1591438570000,9,,,
1591438575000,9,,,
1591438323000,,0,,
1591438328000,,0,,
1591438333000,,0,,
1591438338000,,0,,
1591438343000,,0,,
1591438348000,,0,,
1591438353000,,0,,
1591438359000,,0,,
1591438364000,,0,,
1591438369000,,0,,
1591438374000,,0,,
1591438379000,,0,,
1591438384000,,0,,
1591438389000,,0,,
1591438395000,,0,,
1591438400000,,0,,
1591438405000,,0,,
1591438410000,,9,,
1591438415000,,9,,
1591438420000,,9,,
1591438425000,,9,,
1591438431000,,9,,
1591438436000,,9,,
1591438441000,,9,,
1591438446000,,9,,
1591438451000,,9,,
1591438456000,,9,,
1591438461000,,9,,
1591438467000,,9,,
1591438472000,,9,,
1591438477000,,9,,
1591438482000,,9,,
1591438487000,,9,,
1591438492000,,9,,
1591438498000,,9,,
1591438503000,,9,,
1591438508000,,9,,
1591438513000,,9,,
1591438518000,,9,,
1591438523000,,9,,
1591438528000,,9,,
1591438534000,,9,,
1591438539000,,9,,
1591438544000,,9,,
1591438549000,,9,,
1591438554000,,9,,
1591438559000,,9,,
1591438564000,,9,,
1591438570000,,9,,
1591438575000,,9,,
1591438323000,,,0,
1591438328000,,,0,
1591438333000,,,0,
1591438338000,,,0,
1591438343000,,,0,
1591438348000,,,0,
1591438353000,,,0,
1591438358000,,,0,
1591438364000,,,0,
1591438369000,,,0,
1591438374000,,,0,
1591438379000,,,0,
1591438384000,,,0,
1591438396000,,,0,
1591438402000,,,0,
1591438407000,,,0,
1591438412000,,,9,
1591438417000,,,9,
1591438422000,,,9,
1591438427000,,,9,
1591438432000,,,9,
1591438438000,,,9,
1591438443000,,,9,
1591438448000,,,9,
1591438453000,,,9,
1591438458000,,,9,
1591438463000,,,9,
1591438469000,,,9,
1591438474000,,,9,
1591438479000,,,9,
1591438484000,,,9,
1591438489000,,,9,
1591438494000,,,9,
1591438499000,,,9,
1591438505000,,,9,
1591438510000,,,9,
1591438515000,,,9,
1591438520000,,,9,
1591438525000,,,9,
1591438530000,,,9,
1591438535000,,,9,
1591438541000,,,9,
1591438546000,,,9,
1591438551000,,,9,
1591438556000,,,9,
1591438561000,,,9,
1591438566000,,,9,
1591438572000,,,9,
1591438322000,,,,0
1591438328000,,,,0
1591438333000,,,,0
1591438338000,,,,0
1591438343000,,,,0
1591438348000,,,,0
1591438353000,,,,0
1591438358000,,,,0
1591438364000,,,,0
1591438369000,,,,0
1591438374000,,,,0
1591438379000,,,,0
1591438384000,,,,0
1591438389000,,,,0
1591438394000,,,,0
1591438399000,,,,0
1591438405000,,,,0
1591438410000,,,,9
1591438415000,,,,9
1591438420000,,,,9
1591438425000,,,,9
1591438430000,,,,9
1591438435000,,,,9
1591438441000,,,,9
1591438446000,,,,9
1591438451000,,,,9
1591438456000,,,,9
1591438461000,,,,9
1591438466000,,,,9
1591438472000,,,,9
1591438477000,,,,9
1591438482000,,,,9
1591438487000,,,,9
1591438492000,,,,9
1591438497000,,,,9
1591438502000,,,,9
1591438508000,,,,9
1591438513000,,,,9
1591438518000,,,,9
1591438523000,,,,9
1591438528000,,,,9
1591438533000,,,,9
1591438538000,,,,9
1591438544000,,,,9
1591438549000,,,,9
1591438554000,,,,9
1591438559000,,,,9
1591438564000,,,,9
1591438569000,,,,9
1591438575000,,,,9
