"Time","0c1fc2bd43ce","1edc5b28299f","363f08b924c2","5118fb10a251"
1591438320000,,,,
1591438321000,,,,
1591438322000,,,241,261
1591438323000,228,225,,
1591438324000,,,,
1591438325000,,,,
1591438326000,,,,
1591438327000,,,,5408
1591438328000,5366,5368,5388,
1591438329000,,,,
1591438330000,,,,
1591438331000,,,,
1591438332000,,,,
1591438333000,10498,10493,10523,10602
1591438334000,,,,
1591438335000,,,,
1591438336000,,,,
1591438337000,,,,
1591438338000,15649,15632,15673,15763
1591438339000,,,,
1591438340000,,,,
1591438341000,,,,
1591438342000,,,,
1591438343000,20826,20795,20820,20889
1591438344000,,,,
1591438345000,,,,
1591438346000,,,,
1591438347000,,,,
1591438348000,25955,25925,25953,26016
1591438349000,,,,
1591438350000,,,,
1591438351000,,,,
1591438352000,,,,
1591438353000,31107,31075,31088,31167
1591438354000,,,,
1591438355000,,,,
1591438356000,,,,
1591438357000,,,,
1591438358000,,,36221,36298
1591438359000,36242,36207,,
1591438360000,,,,
1591438361000,,,,
1591438362000,,,,
1591438363000,,,,41427
1591438364000,41376,41337,41346,
1591438365000,,,,
1591438366000,,,,
1591438367000,,,,
1591438368000,,,,
1591438369000,46508,46467,46472,46552
1591438370000,,,,
1591438371000,,,,
1591438372000,,,,
1591438373000,,,,
1591438374000,51636,51595,51602,51684
1591438375000,,,,
1591438376000,,,,
1591438377000,,,,
1591438378000,,,,
1591438379000,56762,56729,56752,56825
1591438380000,,,,
1591438381000,,,,
1591438382000,,,,
1591438383000,,,,
1591438384000,61891,61862,61886,61953
1591438385000,,,,
1591438386000,,,,
1591438387000,,,,
1591438388000,,,,
1591438389000,67019,66998,67018,67084
1591438390000,,,,
1591438391000,,,,
1591438392000,,,,
1591438393000,,,,
1591438394000,72160,72133,,72213
1591438395000,,,,
1591438396000,,,74150,
1591438397000,,,,
1591438398000,,,,
1591438399000,,,,77337
1591438400000,77306,77289,,
1591438401000,,,79288,
1591438402000,,,,
1591438403000,,,,
1591438404000,,,,82468
1591438405000,82436,82417,,
1591438406000,,,,
1591438407000,,,84418,
1591438408000,,,,
1591438409000,,,,
1591438410000,87560,87540,,87595
1591438411000,,,,
1591438412000,,,89549,
1591438413000,,,,
1591438414000,,,,
1591438415000,92717,92684,,92739
1591438416000,,,,
1591438417000,,,94696,
1591438418000,,,,
1591438419000,,,,
1591438420000,97862,97837,,97894
1591438421000,,,,
1591438422000,,,99849,
1591438423000,,,,
1591438424000,,,,
1591438425000,103017,102995,,103051
1591438426000,,,,
1591438427000,,,105000,
1591438428000,,,,
1591438429000,,,,
1591438430000,108164,108140,,108201
1591438431000,,,,
1591438432000,,,110149,
1591438433000,,,,
1591438434000,,,,
1591438435000,,,,113350
1591438436000,113317,113285,,
1591438437000,,,,
1591438438000,,,115313,
1591438439000,,,,
1591438440000,,,,
1591438441000,118463,118432,,118496
1591438442000,,,,
1591438443000,,,120471,
1591438444000,,,,
1591438445000,,,,
1591438446000,123617,123583,,123643
1591438447000,,,,
1591438448000,,,125621,
1591438449000,,,,
1591438450000,,,,
1591438451000,128766,128731,,128799
1591438452000,,,,
1591438453000,,,130772,
1591438454000,,,,
1591438455000,,,,
1591438456000,133920,133892,,133949
1591438457000,,,,
1591438458000,,,135927,
1591438459000,,,,
1591438460000,,,,
1591438461000,139066,139038,,139094
1591438462000,,,,
1591438463000,,,141075,
1591438464000,,,,
1591438465000,,,,
1591438466000,,144192,,144244
1591438467000,144217,,,
1591438468000,,,146229,
1591438469000,,,,
1591438470000,,,,
1591438471000,,,,149387
1591438472000,149362,149337,,
1591438473000,,,,
1591438474000,,,151384,
1591438475000,,,,
1591438476000,,,,
1591438477000,154515,154493,,154539
1591438478000,,,,
1591438479000,,,156540,
1591438480000,,,,
1591438481000,,,,
1591438482000,159661,159649,,159692
1591438483000,,,,
1591438484000,,,161683,
1591438485000,,,,
1591438486000,,,,
1591438487000,164805,164793,,164842
1591438488000,,,,
1591438489000,,,166832,
1591438490000,,,,
1591438491000,,,,
1591438492000,169955,169939,,169988
1591438493000,,,,
1591438494000,,,171978,
1591438495000,,,,
1591438496000,,,,
1591438497000,175111,175091,,175133
1591438498000,,,,
1591438499000,,,177122,
1591438500000,,,,
1591438501000,,,,
1591438502000,,,,180284
1591438503000,180269,180253,,
1591438504000,,,182267,
1591438505000,,,,
1591438506000,,,,
1591438507000,,,,185436
1591438508000,185415,185399,,
1591438509000,,,,
1591438510000,,,187419,
1591438511000,,,,
1591438512000,,,,
1591438513000,190569,190566,,190588
1591438514000,,,,
1591438515000,,,192572,
1591438516000,,,,
1591438517000,,,,
1591438518000,195720,195716,,195740
1591438519000,,,,
1591438520000,,,197722,
1591438521000,,,,
1591438522000,,,,
1591438523000,200868,200864,,200886
1591438524000,,,,
1591438525000,,,202867,
1591438526000,,,,
1591438527000,,,,
1591438528000,206019,206019,,206034
1591438529000,,,,
1591438530000,,,208016,
1591438531000,,,,
1591438532000,,,,
1591438533000,,211170,,211181
1591438534000,211168,,,
1591438535000,,,213182,
1591438536000,,,,
1591438537000,,,,
1591438538000,,,,216329
1591438539000,216320,216328,,
1591438540000,,,,
1591438541000,,,218330,
1591438542000,,,,
1591438543000,,,,221479
1591438544000,221463,221477,,
1591438545000,,,,
1591438546000,,,223484,
1591438547000,,,,
1591438548000,,,,
1591438549000,226619,226637,,226652
1591438550000,,,,
1591438551000,,,228633,
1591438552000,,,,
1591438553000,,,,
1591438554000,231771,231788,,231803
1591438555000,,,,
1591438556000,,,233779,
1591438557000,,,,
1591438558000,,,,
1591438559000,236929,236942,,236956
1591438560000,,,,
1591438561000,,,238928,
1591438562000,,,,
