"Time","24d3987e9b67","6c0244b574f8","e3db9527e60b","e6f3d5f0b9f2"
1591627375000,,,,
1591627376000,,,,
1591627377000,,71687200,,
1591627378000,71687200,,71687200,71687204.00000001
1591627379000,,,,
1591627380000,,,,
1591627381000,,,,
1591627382000,,,,
1591627383000,71679916.00000001,71681328.00000001,71679528.00000001,71680876.00000001
1591627384000,,,,
1591627385000,,,,
1591627386000,,,,
1591627387000,,,,
1591627388000,71679424,71679432.00000001,71679424,71679432.00000001
1591627389000,,,,
1591627390000,,,,
1591627391000,,,,
1591627392000,,,,
1591627393000,71678944.00000001,71678948.00000001,71678944.00000001,71678944.00000001
1591627394000,,,,
1591627395000,,,,
1591627396000,,,,
1591627397000,,,,
1591627398000,71671372.00000001,71671384.00000001,71671372.00000001,71671384.00000001
1591627399000,,,,
1591627400000,,,,
1591627401000,,,,
1591627402000,,,,
1591627403000,71671368.00000001,71671376,71671368.00000001,71671368.00000001
1591627404000,,,,
1591627405000,,,,
1591627406000,,,,
1591627407000,,,,
1591627408000,71671420.00000001,71671424,,71671424
1591627409000,,,71671420.00000001,
1591627410000,,,,
1591627411000,,,,
1591627412000,,,,
1591627413000,,71669456,,71669452.00000001
1591627414000,71669452.00000001,,71669452.00000001,
1591627415000,,,,
1591627416000,,,,
1591627417000,,,,
1591627418000,,,,
1591627419000,71668144,71668148.00000001,71668140.00000001,71668148.00000001
1591627420000,,,,
1591627421000,,,,
1591627422000,,,,
1591627423000,,,,
1591627424000,71534228,71534264.00000001,71534216.00000001,71534220.00000001
1591627425000,,,,
1591627426000,,,,
1591627427000,,,,
1591627428000,,,,
1591627429000,71532568,71532572.00000001,71532568,71532572.00000001
1591627430000,,,,
1591627431000,,,,
1591627432000,,,,
1591627433000,,,,
1591627434000,71530404.00000001,71530408.00000001,71530404.00000001,71530408.00000001
1591627435000,,,,
1591627436000,,,,
1591627437000,,,,
1591627438000,,,,
1591627439000,71529144,71529148.00000001,71528488.00000001,71529144
1591627440000,,,,
1591627441000,,,,
1591627442000,,,,
1591627443000,,,,
1591627444000,,71527156.00000001,,71527156.00000001
1591627445000,71527152,,71527148.00000001,
1591627446000,,,,
1591627447000,,,,
1591627448000,,,,
1591627449000,,71525144,,71525144
1591627450000,71525136.00000001,,71525136.00000001,
1591627451000,,,,
1591627452000,,,,
1591627453000,,,,
1591627454000,,,,
