"Time","24d3987e9b67","6c0244b574f8","e3db9527e60b","e6f3d5f0b9f2"
1591627375000,,,,
1591627376000,,,,
1591627377000,,1982080,,1983520
1591627378000,1981952,,1981440,
1591627379000,,,,
1591627380000,,,,
1591627381000,,,,
1591627382000,,2000320,,
1591627383000,2000672,,2000800,2005568
1591627384000,,,,
1591627385000,,,,
1591627386000,,,,
1591627387000,,,,
1591627388000,1993152,1992640,1992640,2001728
1591627389000,,,,
1591627390000,,,,
1591627391000,,,,
1591627392000,,,,
1591627393000,1983488,1983616,1984256,1996544
1591627394000,,,,
1591627395000,,,,
1591627396000,,,,
1591627397000,,,,
1591627398000,1977152,1974720,1977280,1992768
1591627399000,,,,
1591627400000,,,,
1591627401000,,,,
1591627402000,,,,
1591627403000,1968192,1967040,1968320,1989568
1591627404000,,,,
1591627405000,,,,
1591627406000,,,,
1591627407000,,,,
1591627408000,1959872,1958080,1960640,1983744
1591627409000,,,,
1591627410000,,,,
1591627411000,,,,
1591627412000,,,,
1591627413000,,1952960,,1981888
1591627414000,1951552,,1952960,
1591627415000,,,,
1591627416000,,,,
1591627417000,,,,
1591627418000,,2006720,,2009408
1591627419000,2006592,,2008000,
1591627420000,,,,
1591627421000,,,,
1591627422000,,,,
1591627423000,,,,
1591627424000,1922400,1872448,1914880,1998240
1591627425000,,,,
1591627426000,,,,
1591627427000,,,,
1591627428000,,,,
1591627429000,1933088,1835296,1900512,1985920
1591627430000,,,,
1591627431000,,,,
1591627432000,,,,
1591627433000,,,,
1591627434000,1941216,1970112,1974240,1981280
1591627435000,,,,
1591627436000,,,,
1591627437000,,,,
1591627438000,,,,
1591627439000,1875040,1953664,1949408,1976512
1591627440000,,,,
1591627441000,,,,
1591627442000,,,,
1591627443000,,,,
1591627444000,1912256,1932608,,1941856
1591627445000,,,1976896,
1591627446000,,,,
1591627447000,,,,
1591627448000,,,,
1591627449000,,1948608,,1926816
1591627450000,1898816,,1949792,
1591627451000,,,,
1591627452000,,,,
1591627453000,,,,
1591627454000,,1952576,,
1591627455000,1974048,,1958208,1987104
1591627456000,,,,
1591627457000,,,,
1591627458000,,,,
1591627459000,,,,
1591627460000,1925376,1954528,1959680,1991936
1591627461000,,,,
1591627462000,,,,
1591627463000,,,,
1591627464000,,,,
1591627465000,1965504,1926528,1936640,1983712
1591627466000,,,,
1591627467000,,,,
1591627468000,,,,
1591627469000,,,,
