Time,24d3987e9b67,6c0244b574f8,e3db9527e60b,e6f3d5f0b9f2
1591627378000,0,,,
1591627383000,0,,,
1591627388000,0,,,
1591627393000,0,,,
1591627398000,0,,,
1591627403000,0,,,
1591627408000,0,,,
1591627414000,0,,,
1591627419000,0,,,
1591627424000,8,,,
1591627429000,8,,,
1591627434000,8,,,
1591627439000,8,,,
1591627444000,8,,,
1591627450000,8,,,
1591627455000,8,,,
1591627460000,8,,,
1591627465000,8,,,
1591627470000,8,,,
1591627475000,8,,,
1591627481000,8,,,
1591627486000,8,,,
1591627491000,8,,,
1591627496000,8,,,
1591627501000,8,,,
1591627506000,8,,,
1591627512000,8,,,
1591627517000,8,,,
1591627522000,8,,,
1591627527000,8,,,
1591627532000,8,,,
1591627537000,8,,,
1591627542000,8,,,
1591627548000,8,,,
1591627553000,8,,,
1591627558000,8,,,
1591627563000,8,,,
1591627568000,8,,,
1591627573000,8,,,
1591627578000,8,,,
1591627584000,8,,,
1591627589000,8,,,
1591627594000,8,,,
1591627599000,8,,,
1591627604000,8,,,
1591627609000,8,,,
1591627615000,8,,,
1591627620000,8,,,
1591627625000,8,,,
1591627630000,8,,,
1591627635000,8,,,
1591627640000,8,,,
1591627645000,8,,,
1591627651000,8,,,
1591627656000,8,,,
1591627661000,8,,,
1591627666000,8,,,
1591627671000,8,,,
1591627676000,8,,,
1591627682000,8,,,
1591627687000,8,,,
1591627692000,8,,,
1591627697000,8,,,
1591627702000,8,,,
1591627707000,8,,,
1591627712000,8,,,
1591627718000,8,,,
1591627723000,8,,,
1591627728000,8,,,
1591627733000,8,,,
1591627738000,8,,,
1591627743000,8,,,
1591627749000,8,,,
1591627377000,,0,,
1591627383000,,0,,
1591627388000,,0,,
1591627393000,,0,,
1591627398000,,0,,
1591627403000,,0,,
1591627408000,,0,,
1591627413000,,0,,
1591627418000,,0,,
1591627424000,,15,,
1591627429000,,16,,
1591627434000,,16,,
1591627439000,,16,,
1591627444000,,16,,
1591627449000,,16,,
1591627455000,,16,,
1591627460000,,16,,
1591627465000,,16,,
1591627470000,,16,,
1591627475000,,16,,
1591627480000,,16,,
1591627485000,,16,,
1591627491000,,16,,
1591627496000,,16,,
1591627501000,,16,,
1591627506000,,16,,
1591627511000,,16,,
1591627516000,,16,,
1591627522000,,16,,
1591627527000,,16,,
1591627532000,,16,,
1591627537000,,16,,
1591627542000,,16,,
1591627547000,,16,,
1591627554000,,16,,
1591627560000,,16,,
1591627565000,,16,,
1591627570000,,16,,
1591627575000,,16,,
1591627580000,,16,,
1591627585000,,16,,
1591627591000,,16,,
1591627596000,,16,,
1591627601000,,16,,
1591627606000,,16,,
1591627611000,,16,,
1591627616000,,16,,
1591627621000,,16,,
1591627627000,,16,,
1591627632000,,16,,
1591627637000,,16,,
1591627642000,,16,,
1591627647000,,16,,
1591627652000,,16,,
1591627658000,,16,,
1591627663000,,16,,
1591627668000,,16,,
1591627673000,,16,,
1591627678000,,16,,
1591627683000,,16,,
1591627688000,,16,,
1591627694000,,16,,
1591627699000,,16,,
1591627704000,,16,,
1591627709000,,16,,
1591627714000,,16,,
1591627719000,,16,,
1591627725000,,16,,
1591627730000,,16,,
1591627735000,,16,,
1591627740000,,16,,
1591627745000,,16,,
1591627750000,,16,,
1591627378000,,,0,
1591627383000,,,0,
1591627388000,,,0,
1591627393000,,,0,
1591627398000,,,0,
1591627403000,,,0,
1591627408000,,,0,
1591627414000,,,0,
1591627419000,,,0,
1591627424000,,,15,
1591627429000,,,15,
1591627434000,,,15,
1591627439000,,,15,
1591627445000,,,15,
1591627450000,,,15,
1591627455000,,,15,
1591627460000,,,15,
1591627465000,,,15,
1591627470000,,,15,
1591627475000,,,15,
1591627481000,,,15,
1591627486000,,,15,
1591627491000,,,15,
1591627496000,,,15,
1591627501000,,,15,
1591627506000,,,15,
1591627512000,,,15,
1591627517000,,,15,
1591627522000,,,15,
1591627527000,,,15,
1591627532000,,,15,
1591627537000,,,15,
1591627543000,,,15,
1591627548000,,,15,
1591627553000,,,15,
1591627558000,,,15,
1591627563000,,,15,
1591627568000,,,15,
1591627573000,,,15,
1591627579000,,,15,
1591627584000,,,15,
1591627589000,,,15,
1591627594000,,,15,
1591627599000,,,15,
1591627604000,,,15,
1591627610000,,,15,
1591627615000,,,15,
1591627620000,,,15,
1591627625000,,,15,
1591627630000,,,15,
1591627635000,,,15,
1591627640000,,,15,
1591627646000,,,15,
1591627651000,,,15,
1591627656000,,,15,
1591627661000,,,15,
1591627666000,,,15,
1591627671000,,,15,
1591627677000,,,15,
1591627682000,,,15,
1591627687000,,,15,
1591627692000,,,15,
1591627697000,,,15,
1591627702000,,,15,
1591627707000,,,15,
1591627713000,,,15,
1591627718000,,,15,
1591627723000,,,15,
1591627728000,,,15,
1591627733000,,,15,
1591627738000,,,15,
1591627743000,,,15,
1591627749000,,,15,
1591627378000,,,,0
1591627383000,,,,0
1591627388000,,,,0
1591627393000,,,,0
1591627398000,,,,0
1591627403000,,,,0
1591627408000,,,,0
1591627413000,,,,0
1591627419000,,,,0
1591627424000,,,,0
1591627429000,,,,5
