Time,"20186a2fcafd","2e9b4f244ffc","a0962f33928e","ef468aff4397"
1591631945000,12631,13386,11801,
1591631950000,12631,11642,11801,
1591631955000,13800,10473,11801,17861
1591631960000,13800,9285,12989,17861
1591631965000,13800,8116,12989,19030
1591631970000,14985,5129,,19030
1591631976000,14985,3327,14791,
1591631981000,16152,2160,15972,
1591631986000,16152,2160,15972,
1591631991000,16152,2160,15972,20832
1591631996000,16152,2160,15972,20832
1591632001000,16152,2160,15972,20832
1591632007000,16152,,15972,
1591632012000,16152,2160,15972,
1591632017000,16152,2160,15972,
1591632022000,16152,2160,15972,20832
1591632027000,16152,2160,15972,20832
1591632032000,16152,2160,15972,20832
1591632037000,16152,2160,,20832
1591632043000,16152,2160,15972,
1591632006000,,2160,,20832
1591631971000,,,14791,
1591632038000,,,15972,
1591631944000,,,,16117
1591631949000,,,,17861
1591631975000,,,,20832
1591631980000,,,,20832
1591631985000,,,,20832
1591632011000,,,,20832
1591632016000,,,,20832
1591632042000,,,,20832
