Time,20186a2fcafd,2e9b4f244ffc,a0962f33928e,ef468aff4397
1591631873000,0,,,
1591631878000,0,,,
1591631883000,0,,,
1591631888000,0,,,
1591631893000,0,,,
1591631899000,0,,,
1591631904000,0,,,
1591631909000,0,,,
1591631914000,0,,,
1591631919000,0,,,
1591631924000,0,,,
1591631929000,0,,,
1591631935000,0,,,
1591631940000,0,,,
1591631945000,9,,,
1591631950000,9,,,
1591631955000,10,,,
1591631960000,10,,,
1591631965000,10,,,
1591631971000,11,,,
1591631976000,11,,,
1591631981000,12,,,
1591631986000,12,,,
1591631991000,12,,,
1591631996000,12,,,
1591632002000,12,,,
1591632007000,12,,,
1591632012000,12,,,
1591632017000,12,,,
1591632022000,12,,,
1591632027000,12,,,
1591632032000,12,,,
1591632038000,12,,,
1591632043000,12,,,
1591632048000,12,,,
1591632053000,12,,,
1591632058000,12,,,
1591632063000,12,,,
1591632069000,12,,,
1591632074000,12,,,
1591632079000,12,,,
1591632084000,12,,,
1591631873000,,0,,
1591631878000,,0,,
1591631883000,,0,,
1591631888000,,0,,
1591631893000,,0,,
1591631898000,,0,,
1591631904000,,0,,
1591631909000,,0,,
1591631914000,,0,,
1591631919000,,0,,
1591631924000,,0,,
1591631929000,,0,,
1591631934000,,0,,
1591631940000,,0,,
1591631945000,,9,,
1591631950000,,8,,
1591631955000,,7,,
1591631960000,,6,,
1591631965000,,5,,
1591631970000,,4,,
1591631976000,,2,,
1591631981000,,1,,
1591631986000,,0,,
1591631991000,,0,,
1591631996000,,0,,
1591632001000,,0,,
1591632007000,,0,,
1591632012000,,0,,
1591632017000,,0,,
1591632022000,,0,,
1591632027000,,0,,
1591632032000,,0,,
1591632037000,,0,,
1591632043000,,0,,
1591632048000,,0,,
1591632053000,,0,,
1591632058000,,0,,
1591632063000,,0,,
1591632068000,,0,,
1591632074000,,0,,
1591632079000,,0,,
1591632084000,,0,,
1591631873000,,,0,
1591631878000,,,0,
1591631883000,,,0,
1591631888000,,,0,
1591631893000,,,0,
1591631899000,,,0,
1591631904000,,,0,
1591631909000,,,0,
1591631914000,,,0,
1591631919000,,,0,
1591631924000,,,0,
1591631929000,,,0,
1591631935000,,,0,
1591631940000,,,0,
1591631945000,,,9,
1591631950000,,,9,
1591631955000,,,9,
1591631960000,,,10,
1591631966000,,,10,
1591631971000,,,11,
1591631976000,,,11,
1591631981000,,,12,
1591631986000,,,12,
1591631991000,,,12,
1591631996000,,,12,
1591632002000,,,12,
1591632007000,,,12,
1591632012000,,,12,
1591632017000,,,12,
1591632022000,,,12,
1591632027000,,,12,
1591632032000,,,12,
1591632038000,,,12,
1591632043000,,,12,
1591632048000,,,12,
1591632053000,,,12,
1591632058000,,,12,
1591632063000,,,12,
1591632069000,,,12,
1591632074000,,,12,
1591632079000,,,12,
1591632084000,,,12,
1591631873000,,,,0
1591631878000,,,,0
1591631883000,,,,0
1591631888000,,,,0
1591631893000,,,,0
1591631898000,,,,0
1591631903000,,,,0
1591631908000,,,,0
1591631914000,,,,0
1591631919000,,,,0
1591631924000,,,,0
1591631929000,,,,0
1591631934000,,,,0
1591631939000,,,,0
1591631944000,,,,9
1591631949000,,,,10
1591631955000,,,,10
1591631960000,,,,10
1591631965000,,,,11
1591631970000,,,,11
1591631975000,,,,12
1591631980000,,,,12
1591631986000,,,,12
1591631991000,,,,12
1591631996000,,,,12
1591632001000,,,,12
1591632006000,,,,12
1591632011000,,,,12
1591632016000,,,,12
1591632022000,,,,12
1591632027000,,,,12
1591632032000,,,,12
1591632037000,,,,12
1591632042000,,,,12
1591632047000,,,,12
1591632053000,,,,12
1591632058000,,,,12
1591632063000,,,,12
1591632068000,,,,12
1591632073000,,,,12
1591632078000,,,,12
1591632083000,,,,12
